state,district,block
Odisha,Angul,Angul
Odisha,Angul,Banarpal
Odisha,Angul,Chhendiapada
Odisha,Angul,Athamallik
Odisha,Angul,Kisshorenagar
Odisha,Angul,Talcher
Odisha,Angul,Kaniha
Odisha,Angul,Pallahara
Odisha,Balasore,Balasore
Odisha,Balasore,Basta
Odisha,Balasore,Remuna
Odisha,Balasore,Jaleswar
Odisha,Balasore,Bhograi
Odisha,Balasore,Baliapal
Odisha,Balasore,Nilagiri
Odisha,Balasore,Oupada
Odisha,Balasore,Sora
Odisha,Balasore,Bahanaga
Odisha,Balasore,Simulia
Odisha,Balasore,Khaira
Odisha,Bargarh,Bargarh
Odisha,Bargarh,Barpali
Odisha,Bargarh,Bheden
Odisha,Bargarh,Bhatil
Odisha,Bargarh,Ambabhona
Odisha,Bargarh,Atabira
Odisha,Bargarh,Padampur
Odisha,Bargarh,Paikmal
Odisha,Bargarh,Jharbhand
Odisha,Bargarh,Sohella
Odisha,Bargarh,Bijepur
Odisha,Bhadrak,Basudevpur
Odisha,Bhadrak,Bhadrak
Odisha,Bhadrak,Bhandaripokhari
Odisha,Bhadrak,Bonth
Odisha,Bhadrak,Chandabali
Odisha,Bhadrak,Dhamanagar
Odisha,Bhadrak,Tihidi
Odisha,Bolangir,Bolangir
Odisha,Bolangir,Deogam
Odisha,Bolangir,Gudvella
Odisha,Bolangir,Puintal
Odisha,Bolangir,Luisinga
Odisha,Bolangir,Agalapur
Odisha,Bolangir,Titilagarh
Odisha,Bolangir,Saintala
Odisha,Bolangir,Bangamunda
Odisha,Bolangir,Muribahal
Odisha,Bolangir,Turekela
Odisha,Bolangir,Patnagarh
Odisha,Bolangir,Belapada
Odisha,Bolangir,Khaprakhole
Odisha,Boudh,Boudh
Odisha,Boudh,Harbhanga
Odisha,Boudh,Kantamal
Odisha,Cuttack,Cuttack Sadar
Odisha,Cuttack,Baranga
Odisha,Cuttack,Niali
Odisha,Cuttack,Kantapada
Odisha,Cuttack,Salepur
Odisha,Cuttack,Nischantakoili
Odisha,Cuttack,Mahanga
Odisha,Cuttack,Tangi-Choudwar
Odisha,Cuttack,Athagarh
Odisha,Cuttack,Tigiria
Odisha,Cuttack,Baramba
Odisha,Cuttack,Narasinghpur
Odisha,Cuttack,Banki
Odisha,Cuttack,Banki-Dampada
Odisha,Deogarh,Barkote
Odisha,Deogarh,Reamal
Odisha,Deogarh,Tileibani
Odisha,Dhenkanal,Dhenkanal(Sadar)
Odisha,Dhenkanal,Gondia
Odisha,Dhenkanal,Odapada
Odisha,Dhenkanal,Hindol
Odisha,Dhenkanal,Kamakhyanagar
Odisha,Dhenkanal,Parjang
Odisha,Dhenkanal,Kankadahad
Odisha,Dhenkanal,Bhuban
Odisha,Gajapati,Paralakhemundi
Odisha,Gajapati,Kasinagar
Odisha,Gajapati,Gumma
Odisha,Gajapati,Mohana
Odisha,Gajapati,Nuagada
Odisha,Gajapati,R.Udayagiri
Odisha,Ganjam,Patrapur
Odisha,Ganjam,Chikiti
Odisha,Ganjam,Rangeilunda
Odisha,Ganjam,Digipahandi
Odisha,Ganjam,Sanakhemundi
Odisha,Ganjam,Kukudakhandi
Odisha,Ganjam,Chatrapur
Odisha,Ganjam,Ganjam
Odisha,Ganjam,Purusottampur
Odisha,Ganjam,Hinjilikatu
Odisha,Ganjam,Khallikote
Odisha,Ganjam,Beguniapada
Odisha,Ganjam,Kabisuryanagar
Odisha,Ganjam,Polasara
Odisha,Ganjam,Aska
Odisha,Ganjam,Sheragada
Odisha,Ganjam,Dharakote
Odisha,Ganjam,Surada
Odisha,Ganjam,Bhanjanagar
Odisha,Ganjam,Belguntha
Odisha,Ganjam,Buguda
Odisha,Ganjam,Jagannath Prasad
Odisha,Jagatsinghpur,Jagatsinghpur
Odisha,Jagatsinghpur,Biridi
Odisha,Jagatsinghpur,Naugaon
Odisha,Jagatsinghpur,Balikuda
Odisha,Jagatsinghpur,Raghunathpur
Odisha,Jagatsinghpur,Tirtol
Odisha,Jagatsinghpur,Ersama
Odisha,Jagatsinghpur,Kujang
Odisha,Jajpur,Jajpur
Odisha,Jajpur,Dasarathpur
Odisha,Jajpur,Binjharpur
Odisha,Jajpur,Dangadi
Odisha,Jajpur,Sukinda
Odisha,Jajpur,Korei
Odisha,Jajpur,Dharmasala
Odisha,Jajpur,Barchana
Odisha,Jajpur,Rasulpur
Odisha,Jajpur,Bari
Odisha,Jharsuguda,Jharsuguda
Odisha,Jharsuguda,Lakhanpur
Odisha,Jharsuguda,Kirmira
Odisha,Jharsuguda,Kolabira
Odisha,Jharsuguda,Laikera
Odisha,Kalahandi,Bhawanipatna
Odisha,Kalahandi,Kesinga
Odisha,Kalahandi,Thuamul Rampur
Odisha,Kalahandi,Narla
Odisha,Kalahandi,Madanpur Rampur
Odisha,Kalahandi,Karlamunda
Odisha,Kalahandi,Lanjigarh
Odisha,Kalahandi,Dharmagarh
Odisha,Kalahandi,Golamunda
Odisha,Kalahandi,Jaipatna
Odisha,Kalahandi,Junagarh
Odisha,Kalahandi,Kalampur
Odisha,Kalahandi,Koksara
Odisha,Kendrapara,Kendrapara
Odisha,Kendrapara,Derabish
Odisha,Kendrapara,Marsaghai
Odisha,Kendrapara,Mahakalapara
Odisha,Kendrapara,Garadpur
Odisha,Kendrapara,Pattamundai
Odisha,Kendrapara,Rajkanika
