district,block,village,land_stats,total_pixels
angul,angul,asanabahal,"{""0"": 4221, ""10"": 5762, ""20"": 72, ""30"": 388, ""40"": 681, ""60"": 287, ""80"": 89}",11500
angul,angul,bhrukundi,"{""0"": 1887, ""10"": 6561}",8448
angul,angul,gopalpur,"{""0"": 6556, ""10"": 4749, ""30"": 437, ""40"": 2878, ""50"": 141, ""60"": 291}",15052
angul,angul,karabira,"{""0"": 3737, ""10"": 3407, ""20"": 20, ""30"": 749, ""40"": 105, ""60"": 170}",8188
angul,angul,salore,"{""0"": 4110, ""10"": 13220, ""20"": 14, ""30"": 1980, ""40"": 731, ""60"": 138}",20193
angul,angul,tarava,"{""0"": 3737, ""10"": 3407, ""20"": 20, ""30"": 749, ""40"": 105, ""60"": 170}",8188
angul,athamallik,amsarmunda,"{""0"": 33075, ""10"": 19930, ""20"": 1239, ""30"": 14593, ""40"": 10308, ""50"": 237, ""60"": 1254, ""80"": 60}",80696
angul,athamallik,ananadapur,"{""0"": 1071, ""10"": 33, ""30"": 1147, ""40"": 1313, ""60"": 20}",3584
angul,athamallik,anandapur,"{""0"": 1071, ""10"": 33, ""30"": 1147, ""40"": 1313, ""60"": 20}",3584
angul,athamallik,bhagamunda,"{""0"": 17224, ""10"": 18050, ""20"": 114, ""30"": 4047, ""40"": 1107, ""50"": 6, ""60"": 276}",40824
angul,athamallik,cherakhandi,"{""0"": 10926, ""10"": 10923, ""20"": 1333, ""30"": 6083, ""40"": 6257, ""50"": 13, ""60"": 425}",35960
angul,athamallik,chintamanipur,"{""0"": 6777, ""10"": 6961, ""20"": 356, ""30"": 253, ""40"": 3248, ""50"": 26, ""60"": 326}",17947
angul,athamallik,damodarpur,"{""0"": 25286, ""10"": 15813, ""20"": 120, ""30"": 2402, ""40"": 9752, ""60"": 4369, ""80"": 1771, ""90"": 1}",59514
angul,athamallik,dinabandhupur,"{""0"": 3383, ""10"": 3483, ""20"": 213, ""30"": 537, ""40"": 1418, ""60"": 314}",9348
angul,athamallik,girida,"{""0"": 20480, ""10"": 9636, ""20"": 135, ""30"": 2949, ""40"": 1312, ""50"": 8, ""60"": 51}",34571
angul,athamallik,hingamandal,"{""0"": 42424, ""10"": 30911, ""20"": 1518, ""30"": 5309, ""40"": 11821, ""50"": 53, ""60"": 379}",92415
angul,athamallik,hinjagola,"{""0"": 26638, ""10"": 29586, ""20"": 7, ""30"": 2069, ""40"": 1151, ""50"": 27, ""60"": 146}",59624
angul,athamallik,jadupur,"{""0"": 2836, ""10"": 576, ""20"": 16, ""30"": 449, ""40"": 4112, ""60"": 105}",8094
angul,athamallik,jarpada,"{""0"": 38253, ""10"": 3910, ""20"": 115, ""30"": 7756, ""40"": 10850, ""50"": 1599, ""60"": 1817, ""80"": 68}",64368
angul,athamallik,jogibandha,"{""0"": 16090, ""10"": 14892, ""20"": 723, ""30"": 4686, ""40"": 4991, ""50"": 29, ""60"": 150, ""80"": 44}",41605
angul,athamallik,kandhapali,"{""0"": 3242, ""10"": 2389, ""20"": 112, ""30"": 580, ""40"": 2656, ""60"": 233}",9212
angul,athamallik,kodasingha,"{""0"": 65926, ""10"": 5054, ""20"": 202, ""30"": 9745, ""40"": 32938, ""50"": 323, ""60"": 6074, ""80"": 16484}",136746
angul,athamallik,nabadipapur,"{""0"": 37402, ""10"": 7460, ""20"": 982, ""30"": 3486, ""40"": 2080, ""50"": 4, ""60"": 102}",51516
angul,athamallik,nilamara,"{""0"": 6244, ""10"": 2346, ""20"": 111, ""30"": 390, ""40"": 4841, ""50"": 4, ""60"": 72}",14008
angul,athamallik,nua,"{""0"": 9052, ""10"": 5837, ""20"": 404, ""30"": 6126, ""40"": 5628, ""50"": 1884, ""60"": 2232, ""90"": 79}",31242
angul,athamallik,pathakhaman,"{""0"": 17446, ""10"": 7874, ""20"": 404, ""30"": 548, ""40"": 10470, ""50"": 83, ""60"": 732, ""80"": 3475}",41032
angul,athamallik,phuluribania,"{""0"": 29916, ""10"": 20763, ""20"": 1643, ""30"": 5006, ""40"": 1907, ""50"": 4, ""60"": 479}",59718
angul,athamallik,sadanandapur,"{""0"": 11570, ""10"": 6177, ""20"": 376, ""30"": 1094, ""40"": 8326, ""50"": 336, ""60"": 1262}",29141
angul,athamallik,sanadudhianali,"{""0"": 26640, ""10"": 13617, ""20"": 789, ""30"": 786, ""40"": 21056, ""50"": 41, ""60"": 1467, ""80"": 640}",65036
angul,athamallik,taleipathar,"{""0"": 41043, ""10"": 40264, ""20"": 2708, ""30"": 12874, ""40"": 9971, ""50"": 37, ""60"": 998, ""80"": 367}",108262
angul,athamallik,thakurgarh,"{""0"": 86572, ""10"": 22524, ""20"": 1146, ""30"": 15914, ""40"": 22283, ""50"": 859, ""60"": 1420}",150718
angul,chhendipada,dahimal,"{""0"": 2292, ""10"": 2140, ""20"": 27, ""30"": 1287, ""40"": 1089, ""50"": 7, ""60"": 163, ""80"": 10}",7015
angul,kaniha,balarampur,"{""0"": 5280, ""10"": 809, ""20"": 161, ""30"": 1563, ""40"": 4365, ""50"": 45, ""60"": 2902}",15125
angul,kaniha,kaliadama,"{""0"": 69236, ""10"": 33914, ""20"": 3572, ""30"": 5672, ""40"": 21873, ""50"": 107, ""60"": 3234}",137608
angul,kaniha,lodhajhari,"{""0"": 44433, ""10"": 54200, ""20"": 2697, ""30"": 10065, ""40"": 14920, ""50"": 94, ""60"": 4691}",131100
angul,kishorenagar,kuruntap,"{""0"": 20636, ""10"": 12294, ""20"": 215, ""30"": 11587, ""40"": 13571, ""50"": 88, ""60"": 883, ""80"": 75}",59349
angul,kishorenagar,manakadachua,"{""0"": 21220, ""10"": 16577, ""20"": 498, ""30"": 10933, ""40"": 3238, ""50"": 9, ""60"": 1201}",53676
angul,kishorenagar,takaba,"{""0"": 43615, ""10"": 42949, ""20"": 952, ""30"": 4084, ""40"": 3611, ""50"": 15, ""60"": 287, ""80"": 55}",95568
angul,pallahara,babundiha,"{""0"": 24712, ""10"": 24738, ""20"": 592, ""30"": 11059, ""40"": 1505, ""60"": 54}",62660
angul,pallahara,badagunda,"{""0"": 47311, ""10"": 40839, ""20"": 918, ""30"": 2541, ""40"": 15849, ""50"": 7, ""60"": 3157}",110622
angul,pallahara,badasada,"{""0"": 144706, ""10"": 71378, ""20"": 1758, ""30"": 4860, ""40"": 44922, ""50"": 714, ""60"": 2894, ""80"": 128}",271360
angul,pallahara,bahadakani,"{""0"": 5931, ""10"": 821, ""20"": 24, ""30"": 119, ""40"": 8293, ""50"": 43, ""60"": 232, ""80"": 119}",15582
angul,pallahara,balibahal,"{""0"": 89232, ""10"": 60511, ""20"": 1483, ""30"": 8431, ""40"": 5680, ""50"": 19, ""60"": 184}",165540
angul,pallahara,banara,"{""0"": 51534, ""10"": 17309, ""20"": 350, ""30"": 1451, ""40"": 7552, ""50"": 138, ""60"": 458}",78792
angul,pallahara,bandhakani,"{""0"": 31740, ""10"": 9415, ""20"": 1637, ""30"": 4520, ""40"": 24607, ""50"": 100, ""60"": 1266, ""80"": 400, ""90"": 27}",73712
angul,pallahara,baradiha,"{""0"": 67129, ""10"": 47768, ""20"": 1195, ""30"": 12033, ""40"": 6044, ""50"": 10, ""60"": 308}",134487
angul,pallahara,barhakudar,"{""0"": 7628, ""10"": 6763, ""20"": 324, ""30"": 1872, ""40"": 11838, ""50"": 174, ""60"": 1400, ""80"": 9}",30008
angul,pallahara,batisuan,"{""0"": 47254, ""10"": 65254, ""20"": 640, ""30"": 4981, ""40"": 44597, ""50"": 1150, ""60"": 2199, ""80"": 69}",166144
angul,pallahara,bhajpur,"{""0"": 34620, ""10"": 24028, ""20"": 624, ""30"": 1005, ""40"": 11832, ""50"": 28, ""60"": 2811, ""80"": 250}",75198
angul,pallahara,bhimakand,"{""0"": 25917, ""10"": 13605, ""20"": 1127, ""30"": 520, ""40"": 2383, ""60"": 66}",43618
angul,pallahara,bhimakanda,"{""0"": 25917, ""10"": 13605, ""20"": 1127, ""30"": 520, ""40"": 2383, ""60"": 66}",43618
angul,pallahara,bishnupur,"{""0"": 17647, ""10"": 16221, ""20"": 160, ""30"": 8297, ""40"": 5302, ""50"": 1, ""60"": 1416, ""80"": 1889, ""90"": 587}",51520
angul,pallahara,boitasari,"{""0"": 12569, ""10"": 4226, ""20"": 103, ""30"": 165, ""40"": 9556, ""50"": 13, ""60"": 368}",27000
angul,pallahara,chadagurujang,"{""0"": 31634, ""10"": 10368, ""20"": 143, ""30"": 7508, ""40"": 60147, ""50"": 551, ""60"": 1867, ""80"": 1738, ""90"": 416}",114372
angul,pallahara,chakradharapur,"{""0"": 9155, ""10"": 9341, ""20"": 38, ""30"": 1111, ""40"": 2134, ""60"": 365}",22144
angul,pallahara,chakradharpur,"{""0"": 9155, ""10"": 9341, ""20"": 38, ""30"": 1111, ""40"": 2134, ""60"": 365}",22144
angul,pallahara,chasagurujang,"{""0"": 31634, ""10"": 10368, ""20"": 143, ""30"": 7508, ""40"": 60147, ""50"": 551, ""60"": 1867, ""80"": 1738, ""90"": 416}",114372
angul,pallahara,chhanchunia,"{""0"": 48546, ""10"": 20237, ""20"": 956, ""30"": 1371, ""40"": 21109, ""50"": 36, ""60"": 3867, ""80"": 556}",96678
angul,pallahara,daipani,"{""0"": 79784, ""10"": 98646, ""20"": 7194, ""30"": 5037, ""40"": 8919, ""50"": 8, ""60"": 300}",199888
